nama_lengkap,nip,nik,mata_pelajaran,pendidikan_terakhir,tahun_masuk,kontak,tempat_lahir,alamat
Dr. Suharto Wijaya, M.Pd.,196801011990031001,3471010101680001,Matematika,S2 Pendidikan Matematika,2005,081234567001,Yogyakarta,Jl. Kaliurang KM 5 No. 1
Hj. Sri Mulyani, S.Pd.,196807151992032002,3471020207680002,Bahasa Indonesia,S1 Pendidikan Bahasa Indonesia,2008,081234567002,Sleman,Jl. Magelang KM 3 No. 2
Drs. Budi Hartono,196903121994031003,3471030312690003,Fisika,S1 Pendidikan Fisika,2010,081234567003,Bantul,Jl. Parangtritis KM 4 No. 3
Sumarni, S.Pd.,197105102000032004,3471041005710004,Kimia,S1 Pendidikan Kimia,2012,081234567004,Kulon Progo,Jl. Wates KM 7 No. 4
Ahmad Yusuf, M.Pd.,197212302001031005,3471053012720005,Biologi,S2 Pendidikan Biologi,2013,081234567005,Gunung Kidul,Jl. Wonosari KM 10 No. 5
Nurul Hidayah, S.Pd.,197508152003032006,3471061508750006,Bahasa Inggris,S1 Pendidikan Bahasa Inggris,2015,081234567006,Yogyakarta,Jl. Gejayan No. 6
Bambang Suryadi, S.Pd.,197605202004031007,3471072005760007,Sejarah Indonesia,S1 Pendidikan Sejarah,2016,081234567007,Sleman,Jl. Palagan No. 7
Rini Marlina, M.Pd.,197807252005032008,3471082507780008,Sosiologi,S2 Pendidikan IPS,2017,081234567008,Bantul,Jl. Bantul KM 6 No. 8
Hendra Kusuma, S.Pd.I,198003102006031009,3471091003800009,Pendidikan Agama Islam,S1 Pendidikan Agama Islam,2018,081234567009,Kulon Progo,Jl. Sentolo No. 9
Diana Sari, S.Pd.,198205122007032010,3471101205820010,Seni Budaya,S1 Pendidikan Seni Rupa,2019,081234567010,Yogyakarta,Jl. Malioboro No. 10
